"Parameter","Description","Instrument Count","List of Instruments"
"sequence-page buttons","Switches between pages/banks of steps within a longer sequence.","1","WebGPU Chiptune"
"step-fraction select plus custom numerator/denominator number inputs","Sets the rhythmic subdivision of each step, including custom ratios.","1","WebGPU Chiptune"
"note-length-within-step Gate slider, range 5-100","Controls how much of each step's duration the note actually sounds (gate/legato amount).","1","WebGPU Chiptune"
"X-zoom select","Zooms the horizontal (time) axis of the sequence view in or out.","1","WebGPU Chiptune"
"X-pan slider","Scrolls/pans the sequence view horizontally through time.","1","WebGPU Chiptune"
"Rotate -1/+1, Reverse, Vary lane and Reset lane edits buttons","Shifts, reverses, randomly varies, or resets the notes in the current lane.","1","WebGPU Chiptune"
"visible pitch-range slider, range 12-72 semitones","Sets how many semitones of pitch are visible in the editor's vertical range.","1","WebGPU Chiptune"
"Y-pan pitch-center slider, range -36..36","Scrolls the visible pitch range up or down around a center pitch.","1","WebGPU Chiptune"
"dynamically generated focused-voice sound control stack","Shows sound-shaping controls for whichever voice is currently focused/selected.","1","WebGPU Chiptune"
"Pattern-pad X/Y morph controls for seed and pitch range with Reset active/all lane-edits buttons","An XY pad that morphs the pattern's random seed and pitch range, with reset options.","1","WebGPU Chiptune"
"Quick Patch macro knob bank of 16 shader macros with Randomize/Mutate patch buttons","A bank of 16 macro knobs controlling GPU shader parameters, with randomize/mutate shortcuts.","1","WebGPU Chiptune"
"Shared Tempo + Song Gates preset grid and pattern controls","A preset grid combining global tempo and song-gate settings with pattern selection.","1","WebGPU Chiptune"
"All Voices + Shared Pulse/PWM control stack","Group controls that shape pulse-wave/PWM timbre shared across all voices.","1","WebGPU Chiptune"
"All Drums + Shared Drum Bus control stack","Group controls that shape the shared drum bus affecting all drum voices.","1","WebGPU Chiptune"
"Shared Echo + Mix control stack for the 8-tap echo","Controls the shared 8-tap echo effect and its mix level.","1","WebGPU Chiptune"
"Phrase/Song + Advanced Sound section with scale, gate and advanced subgroup controls","Advanced section covering phrase/song structure, musical scale, gating and other sound subgroups.","1","WebGPU Chiptune"
"Reload default preset button","Restores the instrument to its default factory preset.","1","WebGPU Chiptune"
"Play sequence button or Space","Starts or stops playback of the sequence.","1","Jaw Jam"
"Return-to-first-step button","Rewinds the playhead back to the first step.","1","Jaw Jam"
"New phrase, Mutate and Clear buttons","Generates a new random phrase, mutates the current one, or clears it.","1","Jaw Jam"
"Sequence Length slider, range 1-32 steps","Sets the total number of steps in the sequence.","1","Jaw Jam"
"Pluck tempo slider, range 36-480 BPM","Sets the playback speed of the pluck/note sequence in beats per minute.","1","Jaw Jam"
"Swing slider, range -0.42..0.42","Shifts alternate steps earlier or later to add rhythmic swing.","1","Jaw Jam"
"Breath ratio select, choices from 1 breath per 3 beats to 3 breaths per beat","Sets how often breath/air events occur relative to the beat.","1","Jaw Jam"
"animated Pluck clock and Breath clock displays, visual only","Non-interactive animated indicators showing the pluck and breath timing cycles.","1","Jaw Jam"
"paint-mode toolbar with Pitch+pluck, Pull, Air, Rate, Vowel, Voice, Hold and X rest buttons, click to choose then drag across the step lane to paint that parameter, Shift paints rests and Option paints holds","Selects which parameter is painted onto steps by dragging across the step lane.","1","Jaw Jam"
"Draw/Scroll touch-mode toggle buttons","Switches touch interaction between drawing notes and scrolling the view.","1","Jaw Jam"
"horizontally scrollable step lane, drag or click per step","The scrollable lane where individual steps are edited by clicking or dragging.","1","Jaw Jam"
"step inspector with Pluck/Hold/X-rest action buttons, Vowel select, Voice/material select, Pitch slider range 27-53 MIDI with ArrowUp/Down plus-or-minus 1 and Shift plus-or-minus 12 and Home/End to extremes, Pull slider range 0-1, Air slider range 0-3, and Breath rate slider range 0.125-8x","Detailed editor for a single selected step's pitch, articulation, vowel, voice and breath settings.","1","Jaw Jam"
"Audition step and Stop sound buttons","Previews the currently selected step's sound or stops it playing.","1","Jaw Jam"
"Play sequence transport button or Space","Starts or stops sequence playback.","1","GPU Shader Synths"
"Edit-lane select, Lane-destination select, plus Add parameter lane and Remove lane buttons","Chooses which parameter lane to edit or its target, and adds/removes lanes.","1","GPU Shader Synths"
"sequencer canvas, drag vertically or across steps to paint values, double-click to remove a step","Draws parameter values onto sequence steps by dragging; double-click deletes a step.","1","GPU Shader Synths"
"preset grid of 32 buttons","A grid of 32 buttons for loading saved presets.","1","GPU Shader Synths"
"Rotate -1/+1, Reverse and Invert lane buttons","Shifts, reverses, or inverts the values in the currently edited lane.","1","GPU Shader Synths"
"sequence generator/technique button grid","Applies algorithmic sequence-generation techniques to the current pattern.","1","GPU Shader Synths"
"Vary selected lane and Vary all lanes buttons","Randomly varies either the current lane or every lane in the sequence.","1","GPU Shader Synths"
"Layer-behavior select, Stack versus Morph, plus Add synthesis layer button","Sets whether synthesis layers stack together or morph between each other, and adds new layers.","1","GPU Shader Synths"
"dynamically generated per-layer model-layer list and model controls","Lists active synthesis layers and exposes each one's model controls.","1","GPU Shader Synths"
"component-count control group covering six adjustable banks","Sets how many active components/partials are used across six sound banks.","1","GPU Shader Synths"
"additive rank table where each active rank exposes frequency ratio, level, AM frequency and AM depth as dynamically generated rows","A table of additive synthesis partials, each with its own ratio, level and amplitude-modulation settings.","1","GPU Shader Synths"
"GPU post-effects control group","Controls for GPU-based post-processing audio effects.","1","GPU Shader Synths"
"Field control group for scale and MIDI mapping settings","Configures the musical scale and MIDI input mapping.","1","GPU Shader Synths"
"Reset shader synth button","Resets the shader-based synth engine to its default state.","1","GPU Shader Synths"
"Audio on/off button, disabled until WebGPU modules finish loading","Enables or mutes audio output; unavailable until the WebGPU engine finishes loading.","1","srtuss Master"
"Randomize, Mutate and Reset buttons","Randomizes, slightly mutates, or resets the current patch/settings.","1","srtuss Master"
"five Rack-global sliders, Clock 0.5-2x, Tune -24..24 st, Width 0-1.5x, Space -1..1, and Drive -1..1, each moving every mapped voice together","Global sliders (clock speed, tuning, stereo width, spatial spread, drive) that move all mapped voices together.","1","srtuss Master"
"Add voice button","Adds a new voice to the rack/song part.","1","srtuss Master"
"voice deck listing active song-part voices","Lists the voices currently active in the selected song part for selection.","1","srtuss Master"
"Previous/Next-voice cycle buttons","Steps selection backward or forward through the active voices.","1","srtuss Master"
"Knobs-edit target select choosing which part the macro knobs currently control","Chooses which sound part the macro knob bank is currently mapped to.","1","srtuss Master"
"dynamically generated macro knob shelf","A shelf of macro knobs whose assignments update based on the selected target.","1","srtuss Master"
"preset/song-part button grid","A grid of buttons for selecting presets or song sections.","1","srtuss Master"
"Play master transport button or Space plus a timeline readout","Starts/stops the master transport and shows a timeline position readout.","1","srtuss Master"
"edit-voice section with Sound source select, Parameter mode select choosing Original 1:1 versus Master mapped, Internal part select, Level slider 0-1, Pan slider -1..1, and Tape rate slider 0.5-2x","Edits a voice's sound source, parameter mapping mode, level, pan and playback rate.","1","srtuss Master"
"Explode-selected-voice and Remove-selected-voice buttons","Splits the selected voice into multiple voices, or deletes it.","1","srtuss Master"
"module palette, categorized list, click a module icon to add it to the patch or click its speaker icon to audition it standalone","A categorized list of synth modules to add to the patch or preview individually.","1","Modular Shader Synth"
"Patch-view toggle, Fit graph and Clear buttons","Switches patch view mode, auto-fits the graph to the window, or clears the patch.","1","Modular Shader Synth"
"XYFlow-canvas comparison link","A link that opens a comparison view of the patch graph canvas.","1","Modular Shader Synth"
"graph viewport where dragging an OUT port then an IN port connects two modules, and dragging a module header repositions it","The node-graph canvas for wiring modules together and rearranging them.","1","Modular Shader Synth"
"scope canvas, visual output waveform, no interaction","Non-interactive oscilloscope display showing the current audio output waveform.","1","Modular Shader Synth"
"Play/Run patch transport button or Space","Starts or stops running the current patch.","1","Modular Shader Synth"
"preset picker with Previous/Next patch buttons and a preset button strip","Browses and loads saved patches via next/previous navigation or a preset strip.","1","Modular Shader Synth"
